name,description,categories,Website,category,address,email,phone,zipcode,city,country
Pig&Hen,,Beauty en welzijn,http://pigandhen.nl,Beauty en welzijn,,,,,,Verenigde Staten
Flashbay,"<p>Hier bij Flashbay zijn we een van 's werelds toonaangevende leveranciers van USB Flash Drives, Powerbanks, Audio-producten, Gadgets en Tech Gift Sets. We bieden onverslaanbare prijzen in combinatie met snelle en efficiënte service aan kleine, middelgrote en grote organisaties over de hele wereld.</p>

<p>Wij hebben een breed assortiment aan geheugencapaciteiten en bieden verschillende personaliseringsmogelijkheden aan.</p> 

<p>Tijdens dit proces is er onze oprechte toewijding aan het milieu door het gebruik van gerecyclede materialen. Vol trots kunnen wij mededelen dat wij in 2008 in zowel de fabriek van Flashbay als ons kantoor in het Verenigd Koninkrijk hiermee onze 'carbon neutral' status hebben verdiend.</p>

<div class=""divider""></div>

<h4>Waarom Flashbay?</h4>
<ul class=""bullet-points""><strong>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">Snelste Levertijd</a><br /></li>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">Gratis Samples (de volgende dag)</a><br /></li>
<li><a href=""http://www.flashbay.nl/formulier"">Direct Een Offerte (binnen 15 min.)</a><br /></li>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">Fabrieksprijzen</a><br /></li>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">10 Stuks Minimale Afname</a><br /></li>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">Eigen Fabriek</a><br /></li>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">ISO 9001:2015 Gecertificeerd</a><br /></li>
<li><a href=""http://www.flashbay.nl/waarom_flashbay"">10 Jaar Garantie</a><br /></li>
</strong></ul>
<div class=""divider""></div>
<br />
<a href=""http://www.flashbay.nl"" target=""_blank"" title=""Offerte"" style=""background:#00b67a;color:#FFF;padding:10px 20px;text-decoration:none!important;"">Offerte</a>",Promotieartikelenwinkel,http://www.flashbay.nl,Zakelijke diensten,Flashbay Ltd Joop Geesinkweg 901 - 999 1096 AZ Amsterdam,contact@flashbay.com,,,Amsterdam,Nederland
Copyshop / Drukkerij Printhuus,"Printhuus is al jaren lang gespecialiseerd in het bedrukken van textiel en papier. U kunt bij ons terecht voor onder meer het bedrukken of borduren van promotiekleding, sportkleding, werkkleding en eigenkleding. Daarbij drukken, kopiëren en printen wij op allerlei papiersoorten. Wij begeleiden, adviseren en helpen u graag in het maken van de juiste keus. Wij staan voor no-nonsense en geen bijkomstige kosten. Wij leveren kwaliteit voor een enorm scherpe prijs en gaan voor een persoonlijke benadering en denken graag met u mee. Wij streven naar een zo fijne en goed mogelijke ervaring voor klanten. We zijn dan ook erg blij met de vele positieve reacties die wij hierover terugkrijgen. Klantvriendelijkheid en service staan bij ons erg hoog!",Digitale afdrukservice,http://printhuus.nl,Zakelijke diensten,Wannestraat 6,info@printhuus.nl,0651822732,7722 RV,Dalfsen,Nederland
Royalkaarten,"Geboortekaartjes, trouwkaarten of communiekaarten zijn belangrijk: ze moeten uniek zijn, onderscheidend en persoonlijk. Bij RoyalKaarten vind je een groot assortiment kaarten die je eenvoudig kunt aanpassen naar je eigen persoonlijke stijl en smaak. Je voegt bijvoorbeeld zelf een foto toe of je geeft de kaart een mooie uitstraling met een strikje of lintje.",Prints en uithangbordenwinkel,http://royalkaarten.nl,Zakelijke diensten,dr.weitjenslaan 29,info@royalkaarten.nl,0611481670,2685VV,Poeldijk,Nederland
TrafficSupply,"TrafficSupply is dé online specialist in verkeers-, tekst- en informatieborden, laadpalen en wegvlakmarkeringen. Via één van onze webshops zoals: www.informatiebord.nl, www.scheepvaartbord.nl, www.oplaadpaal-kopen.nl, www.veiligheidsbord.nl, www.rookvrijterrein.nl etc. is het mogelijk om zelf uw producten zoals verkeersborden, scheepvaartborden, informatieborden, oplaadpalen en wegvlakmarkeringen op maat samen te stellen, voorzien van eigen tekst en/of logo.",Fabrikant,https://www.trafficsupply.nl,Zakelijke diensten,Lindenhof 7,info@trafficsupply.nl,+31 (0)38-79 200 70,8051DD,HATTEM,Nederland
mdhelektroshop.nl,"MDHelektroshop.nl levert aan iedereen. Wij zijn er voor de installatiebureaus, professionele bouwbedrijven en zzp-ers, maar uiteraard ook voor de hobbyist. Door ons brede assortiment en scherpe prijzen is er voor elke klantvraag of wens wel het juiste product te vinden. Kunt u echter het gewenste product niet vinden, neemt u dan contact met ons op via info@mdhelektroshop.nl of 0486-85 15 58. Wij helpen u uiteraard graag verder!

Indien u regelmatig bestelt, raden wij u aan om een account aan te maken. Hiermee kunt u eenvoudig uw afleveradressen beheren, heeft u direct inzicht in uw bestelhistorie en kunt daarnaast ook een verlanglijst met te bestellen producten aanmaken. Indien u een zakelijke klant bent komt u ook nog eens in aanmerking voor aantrekkelijke kortingen! Zo ziet u maar weer, MDHElektroshop.nl is dé voordeligste elektromaterialen specialist.",Elektrogroothandel,https://mdhelektroshop.nl,Zakelijke diensten,Zeelandseweg 31,info@mdhelektroshop.nl,0486 - 85 15 58,5453RS,Langenboom,Nederland
SharePeople,"SharePeople, jouw vangnet bij arbeidsongeschiktheid",Inkomensbescherming verzekering,http://sharepeople.nl,Zakelijke diensten,Hoofdstraat 25,contact@sharepeople.nl,0343-227002,3791 KA,Driebergen,Nederland
gorillagrip.nl,"GorillaGrip is een echt Hollands fabricaat. Gemaakt in eigen beheer en volgens de hoogste kwaliteitseisen. De productie voldoet aan de ‘offshore-norm’. Dat wil zeggen, er wordt op dezelfde manier geproduceerd als voor de offshore. Een garantie voor robuuste, hoogwaardige installaties met een lange levensduur. GorillaGrip staat voor eerlijk en betrouwbaar. Typical Dutch.

",Sportartikelenwinkel,https://gorillagrip.nl,Zakelijke diensten,Nijverheidsweg 20,info@gorillagrip.nl,+31(0)6-54244683,7921 JJ,Zuidwolde,Nederland
Studiomoods,"Wenskaarten met een bijzondere boodschap voor momenten van troost & verdriet, maar ook van feest & liefde.",Wenskaartenwinkel,http://www.studiomoods.nl,Zakelijke diensten,,,,,,Nederland
PerlaPlast Kunststofshop,"PerlaPlast is een breed gesorteerde webwinkel op het gebied van kunststof plaat, staf en buis. Afnemers zijn particulieren, bedrijven, overheden, gemeenten, scholen en instellingen. Bij ons kunt u goed terecht voor uw diverse halffabrikaat producten maar ook voor bewerkt product gemaakt uit halffabrikaat, middels zaag-, boor-, frees-, stans-, buig- of lijmtechnieken. Bent u groot- of regelmatig afnemer van kunststoffen uit ons leveringsprogramma, dan zijn wij zeer wel in staat u uitstekende inkoopcondities voor te leggen.

Perlaplast levert niet alleen kunststoffen en kunststof eindproducten maar kan u ook adviseren inzake de keuze en gebruik van kunststoffen in diverse toepassingen. Hierbij maken we gebruik van onze langjarige werkervaring in deze materiaalgroep. We delen deze kennis graag met u. U kunt uw vragen en aanvragen aan ons richten door het contactformulier in te vullen. We doen ons best uw vragen zo snel mogelijk te beantwoorden. 

Het PerlaPlast team bestaat uit 5 enthousiaste medewerkers die alles in het werk stellen om u als klant zo goed mogelijk van dienst te zijn.",Plastic groothandel,http://www.perlaplast-kunststofshop.nl/,Zakelijke diensten,Goorsestraat 11 ,info@perlaplast-kunststofshop.nl,+31314668544,7041 GA ,'s Heerenberg ,Nederland
