name,description,categories,Website,category,address,email,phone,zipcode,city,country
Curlsshop,"Curls shop verkoopt natural haar producten voor krullend,kroes, stijl en golvend haar voor een hele scherpe prijs. Ook verkopen wij make up en haar accessoires. Wij verkopen veel merken en bieden een uitgebreid assortiment.",Haarproductenwinkel,https://curlsshop.nl,Beauty en welzijn,,,,,,Nederland
mdhelektroshop.nl,"MDHelektroshop.nl levert aan iedereen. Wij zijn er voor de installatiebureaus, professionele bouwbedrijven en zzp-ers, maar uiteraard ook voor de hobbyist. Door ons brede assortiment en scherpe prijzen is er voor elke klantvraag of wens wel het juiste product te vinden. Kunt u echter het gewenste product niet vinden, neemt u dan contact met ons op via info@mdhelektroshop.nl of 0486-85 15 58. Wij helpen u uiteraard graag verder!

Indien u regelmatig bestelt, raden wij u aan om een account aan te maken. Hiermee kunt u eenvoudig uw afleveradressen beheren, heeft u direct inzicht in uw bestelhistorie en kunt daarnaast ook een verlanglijst met te bestellen producten aanmaken. Indien u een zakelijke klant bent komt u ook nog eens in aanmerking voor aantrekkelijke kortingen! Zo ziet u maar weer, MDHElektroshop.nl is dé voordeligste elektromaterialen specialist.",Elektrogroothandel,https://mdhelektroshop.nl,Zakelijke diensten,Zeelandseweg 31,info@mdhelektroshop.nl,0486 - 85 15 58,5453RS,Langenboom,Nederland
TrafficSupply,"TrafficSupply is dé online specialist in verkeers-, tekst- en informatieborden, laadpalen en wegvlakmarkeringen. Via één van onze webshops zoals: www.informatiebord.nl, www.scheepvaartbord.nl, www.oplaadpaal-kopen.nl, www.veiligheidsbord.nl, www.rookvrijterrein.nl etc. is het mogelijk om zelf uw producten zoals verkeersborden, scheepvaartborden, informatieborden, oplaadpalen en wegvlakmarkeringen op maat samen te stellen, voorzien van eigen tekst en/of logo.",Fabrikant,https://www.trafficsupply.nl,Zakelijke diensten,Lindenhof 7,info@trafficsupply.nl,+31 (0)38-79 200 70,8051DD,HATTEM,Nederland
ParcelParcel,"Dé online logistieke dienstverlener die zich bezighoudt met het voordelig wereldwijd versturen van pakketten, pallets en documenten. Ons team hecht veel waarde aan een persoonlijke en professionele benadering. Als onze klant tevreden is, zijn wij dat nog niet; ons doel is altijd de verwachtingen van de klant overtreffen. Onze missie: de wereldwijde logistiek eenvoudiger, betaalbaarder en vooral transparanter maken. ParcelParcel Netherlands BV +31(0)858771656 / ParcelParcel Belgium BV +32 (0)38 087 099
",Koeriersbedrijf,http://www.parcelparcel.com,Zakelijke diensten,Energiestraat 14E,info@parcelparcel.com,+31(0)858771656,1411 AT,Naarden,Nederland
Printenbind.nl,"Online je documenten printen, inbinden, en verzenden. Wij zijn snel, goedkoop en leveren kwaliteit.",Prints en uithangbordenwinkel,http://www.printenbind.nl,Zakelijke diensten,Kabelweg 44A,info@printenbind.nl,020 8932246,1014 BB,Amsterdam,Nederland
Trunkrs,Same day en Next day delivery specialist.,Bezorgdienst,https://trunkrs.nl,Zakelijke diensten,De Liesbosch 90,info@trunkrs.nl,085 060 1410,3439 LC ,Nieuwegein,Nederland
OPUS.nl,"OPUS.nl. Snelle levering. De beste service.
Opus is jouw betrouwbare adres voor alles wat je nodig hebt voor je computer en printer, maar ook voor kantoorartikelen en geheugenkaartjes voor je mobiel, tablet en camera. Naast kwaliteit, scherpe prijzen en razendsnelle levering staat uitstekende service en optimale klantvriendelijkheid al jarenlang bovenaan onze prioriteitenlijst. Wij zijn pas tevreden als jij dat bent!",Kantoorbenodigdheden winkel,https://www.opus.nl,Zakelijke diensten,Jac. P. Thijsseweg 11,klantenservice@opus.nl,0172-233004,2408 ER,Alphen aan den Rijn,Nederland
"Data IO, store for data and more","Dé specialist in dataopslag en meer. Data IO is officiëel reseller van Samsung, SanDisk, Sony en Transcend. 
Wij bieden u de beste prijs voor flashgeheugenkaarten (SD, micro SD, XQD, CFast en CompactFlash), USB drives, SSD's en interngeheugen voor alle laptops, desktops, servers en Apple Mac.",Harddisk- en opslagservice,https://www.dataio.nl,Zakelijke diensten,Postbus 747,info@dataio.nl,088 - 188 9 888,3000 AS,ROTTERDAM,Nederland
Misc store,"Misc carries a carefully selected range of stationery, everyday carry, design objects and furniture to aid in finding the right work-life balance.",Schrijfwarenwinkel,https://misc-store.com,Zakelijke diensten,De Clercqstraat 130,hello@misc-store.com,020 7009855,1052 NP,Amsterdam,Nederland
