name,description,categories,Website,category,address,email,phone,zipcode,city,country
SeriousWatches,"We love watches! Based in the Netherlands. Serving the world.

Authorised dealer of: BOLDR, Edox, Junghans, Nethuns, NTH, OceanX, Orient, Raymond Weil, Spinnaker, Zelos and more.",Beauty en welzijn,https://www.seriouswatches.com,beauty_wellbeing,,info@SeriousWatches.eu,+31(0)512-843797,,,Nederland
Curlsshop,"Curls shop verkoopt natural haar producten voor krullend,kroes, stijl en golvend haar voor een hele scherpe prijs. Ook verkopen wij make up en haar accessoires. Wij verkopen veel merken en bieden een uitgebreid assortiment.",Haarproductenwinkel,https://curlsshop.nl,beauty_wellbeing,,,,,,Nederland
Morgen is Nu,"Bij Morgen is Nu zijn we al sinds 1972 bezig met het vergaren van kennis en inzicht over een natuurlijke levenswijze en het zoeken en aanbieden van unieke producten die daarbij horen. Inmiddels zijn veel producten die we toen verkochten mainstream geworden, maar blijft Morgen is Nu zich innoveren met producten die altijd een stapje verder gaan en waar we met hart en ziel achter staan. In ieder product dat wij verkopen ligt dat stukje hart en ziel. Wij zoeken en gebruiken de producten zelf, hebben direct contact met iedere leverancier en gaan altijd na wat de oorsprong is van de ingrediënten. Zo garanderen wij jou de gezondste producten om elke dag weer het maximale uit je leven te halen.",Vitamine- en supplementenwinkel,https://morgenisnu.nl,beauty_wellbeing,Daltonstraat 42-44,info@morgenisnu.nl,+31 341 422 850,3846 BX,Harderwijk,Nederland
Schemaatje,Op Schemaatje.nl willen we jou motiveren om te gaan fitnessen en gezonder leven te gaan leven. De basis van een gezonde levensstijl is gezonde en gevarieerde voeding. Dit gecombineerd met fitness kan al snel geweldige resultaten opleveren. Doorgaans is de beste manier om te beginnen met sporten of gezond eten om een schema te volgen. Op Schemaatje.nl vind je een hoop gratis schema's die jou op weg kunnen helpen je doelen te bereiken!,Fitness- en voedingsservice,http://www.schemaatje.nl,beauty_wellbeing,,info@schemaatje.nl,,,,
Supernaturals.nl,"<p>Wil je meer weten over hoe je met je je tegoedbon online kunt besteden?
<br/>
<ul>
<li><a href=""https://www.supernaturals.nl/blog/vvv-bon-online-besteden/"">VVV Bon online besteden</a></li>
<li><a href=""https://www.supernaturals.nl/blog/gezondheidsbon-besteden/"">Gezondheidsbon online besteden</a></li>
<li><a href=""https://www.supernaturals.nl/blog/your-gift-card-besteden/"">YourGiftCard online besteden</a></li>
</ul>
</p>
<p>
Als je meer wilt bestellen dan het beschikbare saldo op je cadeaubon is dat geen probleem, je kunt het verschil altijd bijbetalen via iDeal of achteraf betalen.
</p>
<p>
Supernaturals levert natuurlijke cosmetische producten met een exotische oorsprong, populaire producten zijn:
<br/>
<ul>
<li><a href=""https://www.supernaturals.nl/ingredienten/emoe-olie-emu-olie.html"">Emu olie</a>
<li><a href=""https://www.supernaturals.nl/ingredienten/arganolie.html"">Argan olie</a></li>
<li><a href=""https://www.supernaturals.nl/ingredienten/wonderolie.html"">Wonder olie</a></li>
<li><a href=""https://www.supernaturals.nl/ingredienten/nigella-sativa-olie.html"">Nigella Sativa</a></li>
</ul>
</p>",Huidverzorgingskliniek,https://www.supernaturals.nl,beauty_wellbeing,Claes de Vrieselaan 25b,info@supernaturals.nl,0854013860,3021JB,Rotterdam,Nederland
Laveen B.V.,"Laveen™ ontwikkelt voedingssupplementen van goede ingrediënten, speciaal voor baby's, moeders, aanstaande moeders, kinderen en volwassenen.

De naam Laveen™ spreek uit als 'La-Víen' en dat klinkt als 'clean' - en dat zijn onze voedingssupplementen ook. ",Fitness- en voedingsservice,http://www.laveen.nl,beauty_wellbeing,Zuid Hollandlaan 7,info@laveen.nl, +31 (0)70 21 53 140,2596AL,Den Haag,Nederland
Femke Ontmoet,"Intuïtieve massage, Levensverhalen, Schrijfcursussen, Schrijfworkshop. Voor meer info zie mijn website.",Massagetherapeut,http://femkeontmoet.nl,beauty_wellbeing,,info@femkeontmoet.nl,+31(0)630189781,,Boxmeer,Nederland
Gezondmarkt,"Over gezondmarkt.nl
Laat je informeren én inspireren over natuurlijke, gezonde én lekkere producten!

Natuurlijk, gezond, én lekker, dat mag je verwachten van de natuurlijke producten van Gezondmarkt. Bij Gezondmarkt willen wij de consument niet alleen informeren naar de beste natuurlijke producten, maar vooral ook inspireren op het gebied van natuurlijke gezondheid. Laat je inspireren door de mogelijkheden en ervaringen rond de verkrijgbare natuurlijke producten. Gezondmarkt.nl moet een toegankelijk platform zijn waar je inspiratie vindt om zélf lekkere en bewuste keuzes te kunnen maken. Hoe meer mensen we kunnen inspireren, hoe groter de bijdrage aan een gezonde toekomst.
Gezondmarkt draagt bij aan een gezonde toekomst vol bewuste keuzes

Men vindt het steeds belangrijker bewuste keuzes te maken. Dit geldt met name op het gebied van voeding en cosmetica. Bij Gezondmarkt staan wij volop achter bewuste keuzes, waarmee wij ons assortiment bepalen. De basis van de verkrijgbare producten bestaat uit natuurlijke ingrediënten. Deze bewuste keuzes hebben ervoor gezorgd dat Gezondmarkt is uitgegroeid tot dé specialist op het gebied van natuurlijke en biologische producten.
Het brede assortiment van Gezondmarkt

Binnen het assortiment van Gezondmarkt vind je een mix van gezonde en lekkere natuurlijke producten. De nadruk ligt op innerlijke en uiterlijke verzorging. Naast voedingssupplementen, Ayurveda, homeopathie en natuurlijke verzorgingsproducten kun je bij Gezondmarkt ook terecht voor:

·         Vele soorten theeën

·         Kruidensoorten

·         Gezonde voeding


https://www.gezondmarkt.nl/nl/ heeft het grootste en meest diverse aanbod aan natuurlijke producten.",Huidverzorgingskliniek,https://www.gezondmarkt.nl,beauty_wellbeing,postbus 242,marketing@gezondmarkt.nl,0320-289822,8200 AE,Lelystad,Nederland
Argantheek.nl,"<b>*    Kwaliteit!</b>
<br>
Onze biologisch persoonlijk verzorgen producten zijn 100% puur en afkomstig van Biologische van landbouw.
Wij leveren Cosmetische en Culinaire Arganolie, alsmede Blacksoap en Rozenwater. 
De ingredienten voor onze producten worden vaak al eeuwen toegepast in locale culturen maar zijn nog minder bekend in de westers samenleving.<br/><br>
100% Pure en Gecertificeerde biologisch persoonlijk verzorgen<br/>
<br/>",Huidverzorgingskliniek,http://argantheek.nl,beauty_wellbeing,Anthonetta Kuijlstraat 59,info@argantheek.nl,085 - 13 07 821,30366GS,Rotterdam,Nederland
BB JO Cosmetics,"BB JO Cosmetics wilt elke vrouw, ongeacht leeftijd of etnische achtergrond, voorzien van een prachtige, betaalbare make-up look.",Beauty en welzijn,http://bbjo.nl,beauty_wellbeing,Weena-Zuid 154,info@bbjo.nl,,3012 NC,,Nederland
